model,f1,auc,runtime,best_epoch_or_ntrees
tabresnet,0.42979942693409745,0.6501468229633474,92.51746389269829,11.0
tabtransformer,0.41997063142437596,0.6439717085711589,31.693761276476312,4.0
tabmlp,0.3855421686746988,0.6280815132789282,9.572094917297363,7.0
lightgbm,0.38520801232665647,0.6264903415255436,0.4613978862762451,57.0
tabnet,0.30870279146141216,0.5943163592622294,77.87806022167206,13.0
