n_steps,step_dim,attn_dim,ghost_bn,virtual_batch_size,momentum,gamma,dropout,embed_dropout,lr,batch_size,weight_decay,lambda_sparse,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss_or_metric
5,32,32,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3035486746165488
5,64,64,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3081160150468349
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3084489148524072
5,16,16,True,128,0.98,1.25,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3135893709129757
5,16,16,True,128,0.75,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3141865134239197
7,16,16,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,0.001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3143564963506328
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3168753517998589
5,16,16,True,128,0.98,1.25,0.0,0.0,0.0005,512,0.0,0.0001,AdamW,CyclicLR,0.0005,0.05,25,10000.0,10.0,0.3188966313997904
7,16,16,False,128,0.75,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.319757267832756
5,16,16,True,64,0.5,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3198102712631225
5,16,16,True,64,0.25,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.320546782679028
5,32,32,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3209219740496741
7,16,16,False,128,0.98,1.25,0.0,0.0,0.0005,128,0.0,0.0001,RAdam,CyclicLR,0.0005,0.05,25,10000.0,10.0,0.3225143717394935
7,16,16,False,128,0.98,1.25,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3226637149022685
5,16,16,True,64,0.98,1.25,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.32269020875295
7,16,16,False,128,0.98,1.75,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3242436999248134
5,16,16,True,128,0.98,2.0,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3262862231996324
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,1e-05,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3270573715368907
5,32,32,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3276560985379749
5,64,64,True,64,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.327676922082901
5,16,16,True,128,0.98,1.5,0.0,0.0,0.0005,512,0.0,0.0001,Adam,CyclicLR,0.0005,0.05,25,10000.0,10.0,0.3293843203120761
7,16,16,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3306224503450923
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3316554129123688
5,64,64,True,64,0.98,1.5,0.2,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3321631848812103
5,16,16,True,128,0.98,1.5,0.0,0.0,0.05,512,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3326099713643392
5,16,16,True,128,0.25,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3365947902202606
5,64,64,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3387957513332367
5,16,16,True,64,0.75,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3406239416864183
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3410938713285658
5,64,64,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3428409219615989
5,16,16,True,64,0.98,2.0,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3443055484029982
