model,acc,runtime,best_epoch_or_ntrees
lightgbm,0.8781782003095291,0.9086389541625977,408.0
tabmlp,0.8722087110325005,205.35758751041286,62.0
tabtransformer,0.8717665266416096,288.6405807244973,32.0
tabnet,0.8704399734689365,422.2966586026279,26.0
tabresnet,0.8697766968826001,388.93254653171255,25.0
